Boleta,Fecha,Camion,Material,Toneladas
86dvdp8bq,26/11/2024,C950300-02,ACOLCHADO VEGETAL,18.77
86dvdp8h2,27/11/2024,C950300-02,ACOLCHADO VEGETAL,6.72
86dvdp8ph,28/11/2024,C950300-02,ACOLCHADO VEGETAL,30.6
86dvdp8y5,29/11/2024,C950300-02,ACOLCHADO VEGETAL,23.8
86dvdp91m,2/12/2024,C950300-02,ACOLCHADO VEGETAL,21.27
86dvdp960,3/12/2024,C950300-02,ACOLCHADO VEGETAL,28.55
86dvdp9a5,4/12/2024,C950300-02,ACOLCHADO VEGETAL,15.45
86dvdp9nw,5/12/2024,C950300-02,ACOLCHADO VEGETAL,21.15
86dvdp9vb,6/12/2024,C950300-02,ACOLCHADO VEGETAL,22.16
86dvdp9z0,9/12/2024,C950300-02,ACOLCHADO VEGETAL,29.87
86dvdpe4b,15/12/2024,C950300-02,ACOLCHADO VEGETAL,5.01
86dvdpecc,16/12/2024,C950300-02,ACOLCHADO VEGETAL,16
86dvvh1cf,17/12/2024,C950300-02,ACOLCHADO VEGETAL,11.65
86dvvh1jw,18/12/2024,C950300-02,ACOLCHADO VEGETAL,8.5
86dvvh22d,19/12/2024,C950300-02,ACOLCHADO VEGETAL,8.75
86dvvh26b,20/12/2024,,ACOLCHADO VEGETAL,13.8
86dvvh2ex,23/12/2024,,ACOLCHADO VEGETAL,24
86dvvh2qw,24/12/2024,,ACOLCHADO VEGETAL,5.1
86dvvh2zn,26/12/2024,,ACOLCHADO VEGETAL,19.15
86dvvh364,6/1/2025,,ACOLCHADO VEGETAL,12.06
86dvvh3d2,7/1/2025,,ACOLCHADO VEGETAL,18.14
86dvvh3qx,14/01/2025,,ACOLCHADO VEGETAL,10.75
86dvvh457,15/01/2025,,ACOLCHADO VEGETAL,35.89
86dvvh4rx,16/01/2025,,ACOLCHADO VEGETAL,18.05
86dvvh4xu,17/01/2025,,ACOLCHADO VEGETAL,1.05
86dvvh533,20/01/2025,,ACOLCHADO VEGETAL,0.95
